date;amount;category;description;account;transactionkind
3.1.22;308,00;Miete;Miete an Dieter;Girokonto;Ausgabe
3.1.22;45,77;Versicherungen;BU Canada Life;Girokonto;Ausgabe
3.1.22;10,20;Reisen;SSB;Girokonto;Ausgabe
3.1.22;0,35;Allgemein;Post;Girokonto;Ausgabe
5.1.22;59,68;Tanken;Tanken für 1,64.9;Girokonto;Ausgabe
3.1.22;51,96;Kleidung;Kleidung für Ruben;Girokonto;Ausgabe
13.1.22;22,19;Lebensmittel;Aldi;Girokonto;Ausgabe
13.1.22;10,14;Lebensmittel;Edeka;Girokonto;Ausgabe
7.1.22;25,09;Lebensmittel;Edeka;Girokonto;Ausgabe
7.1.22;2,90;Lebensmittel;Edeka;Girokonto;Ausgabe
9.1.22;37,45;Tanken;Tanken für 1,81.9;Girokonto;Ausgabe
7.1.22;42,04;Lebensmittel;Aldi;Girokonto;Ausgabe
12.1.22;67,32;Tanken;Tanken für 1,67.9;Girokonto;Ausgabe
29.1.22;7,45;Haushaltsmittel;dm;Girokonto;Ausgabe
31.1.22;65,15;Tanken;Tanken für 1,72.9;Girokonto;Ausgabe
22.1.22;60,89;Freizeit;Cafe del Sol und Cinemax;Girokonto;Ausgabe
27.1.22;48,78;Lebensmittel;aldi;Girokonto;Ausgabe
26.1.22;10,20;Reisen;SSB;Girokonto;Ausgabe
29.1.22;143,85;Kleidung;Greenality;Girokonto;Ausgabe
29.1.22;19,89;Bücher;Thalia;Girokonto;Ausgabe
13.1.22;22,19;Lebensmittel;aldi;Girokonto;Ausgabe
22.1.22;12,79;Freizeit;Cinemax;Barvermögen;Ausgabe
3.2.22;308,00;Miete;Miete an Dieter;Girokonto;Ausgabe
3.2.22;45,77;Versicherungen;BU Canada Life;Girokonto;Ausgabe
7.2.22;30,30;Tanken;Tanken für 1,74.9;Girokonto;Ausgabe
3.2.22;55,78;Lebensmittel;aldi;Girokonto;Ausgabe
3.2.22;2,99;Lebensmittel;rewe;Girokonto;Ausgabe
3.2.22;26,50;Haushaltsmittel;dm;Girokonto;Ausgabe
9.2.22;30,00;Allgemein;CDS Betriebs GmbH Filderstadt;Girokonto;Ausgabe
11.2.22;62,12;Tanken;Tanken für 1,73.9;Girokonto;Ausgabe
10.2.22;25,94;Gesundheit;Sporthanteln Sport Kathmaier;Girokonto;Ausgabe
10.2.22;14,75;Lebensmittel;rewe;Girokonto;Ausgabe
10.2.22;39,27;Lebensmittel;aldi;Girokonto;Ausgabe
19.2.22;6,79;Lebensmittel;rewe;Barvermögen;Ausgabe
24.2.22;28,35;Haushaltsmittel;dm;Girokonto;Ausgabe
24.2.22;5,92;Gesundheit;Fortuna Apotheke;Barvermögen;Ausgabe
23.2.22;16,95;Gesundheit;Fortuna Apotheke;Girokonto;Ausgabe
24.2.22;43,24;Lebensmittel;edeka;Girokonto;Ausgabe
24.2.22;67,19;Lebensmittel;aldi;Girokonto;Ausgabe
3.3.22;308,00;Miete;Miete an Dieter;Girokonto;Ausgabe
3.3.22;45,77;Versicherungen;BU Canada Life;Girokonto;Ausgabe
4.3.22;40,24;Lebensmittel;aldi;Girokonto;Ausgabe
2.3.22;2,75;Allgemein;Post;Barvermögen;Ausgabe
2.3.22;10,20;Reisen;SSB;Girokonto;Ausgabe
2.3.22;30,48;Gesundheit;Fortuna Apotheke;Girokonto;Ausgabe
1.3.22;15,65;Haushaltsmittel;dm;Girokonto;Ausgabe
14.3.22;30,54;Lebensmittel;Rewe;Girokonto;Ausgabe
17.3.22;17,90;Gesundheit;Filder Apotheke;Girokonto;Ausgabe
5.3.22;17,98;Reisen;Subway;Barvermögen;Ausgabe
17.3.22;21,48;Lebensmittel;Rewe;Girokonto;Ausgabe
19.3.22;2,40;Lebensmittel;Alnatura;Barvermögen;Ausgabe
19.3.22;9,97;Gesundheit;Waldau Apotheke;Girokonto;Ausgabe
18.3.22;10,20;Reisen;SSB;Girokonto;Ausgabe
18.3.22;6,73;Lebensmittel;Rewe;Girokonto;Ausgabe
22.3.22;33,13;Lebensmittel;Rewe;Girokonto;Ausgabe
22.3.22;3,95;Lebensmittel;Bäcker;Barvermögen;Ausgabe
16.3.22;8,50;Allgemein;Post;Girokonto;Ausgabe
10.3.22;29,36;Lebensmittel;Rewe;Girokonto;Ausgabe
12.3.22;33,17;Lebensmittel;rewe;Girokonto;Ausgabe
8.3.22;10,20;Reisen;SSB;Girokonto;Ausgabe
24.3.22;11304,59;Schule;Studiumskosten;Girokonto;Ausgabe
24.3.22;7,66;Lebensmittel;Rewe;Girokonto;Ausgabe
24.3.22;8,29;Freizeit;Wolle Rödel;Girokonto;Ausgabe
24.3.22;62,97;Kleidung;Hunkemöller;Girokonto;Ausgabe
24.3.22;12,70;Reisen;RSV;Girokonto;Ausgabe
18.3.22;18,00;Geschenke;Dieter Geschenk;Girokonto;Ausgabe
31.3.22;5,00;Gesundheit;Fortuna Apotheke;Girokonto;Ausgabe
31.3.22;7,07;Lebensmittel;Rewe;Girokonto;Ausgabe
31.3.22;6,40;Reisen;SSB;Girokonto;Ausgabe
24.3.22;12,10;Reisen;SSB;Girokonto;Ausgabe
29.3.22;7,50;Reisen;RSV;Girokonto;Ausgabe
27.3.22;7,50;Reisen;RSV;Girokonto;Ausgabe
26.3.22;46,59;Lebensmittel;Rewe;Girokonto;Ausgabe
31.3.22;7,50;Reisen;RSV;Girokonto;Ausgabe
7.3.22;45,77;Gesundheit;Fortuna Apotheke;Girokonto;Ausgabe
25.3.22;12,70;Reisen;RSV;Girokonto;Ausgabe
3.4.22;400,00;Miete;Miete an Dieter;Girokonto;Ausgabe
3.4.22;45,77;Versicherungen;BU Canada Life;Girokonto;Ausgabe
1.4.22;16,45;Lebensmittel;Häussermann;Girokonto;Ausgabe
2.4.22;69,79;Tanken;Tanken für 1,98.9;Girokonto;Ausgabe
1.4.22;92,15;Lebensmittel;aldi;Girokonto;Ausgabe
1.4.22;10,71;Lebensmittel;edeka;Girokonto;Ausgabe
4.4.22;10,60;Reisen;SSB;Girokonto;Ausgabe
14.4.22;48,31;Lebensmittel;aldi;Girokonto;Ausgabe
14.4.22;10,50;Haushaltsmittel;dm;Girokonto;Ausgabe
6.4.22;94,99;Technische Ausrüstung;Saturn Apple Stift;Girokonto;Ausgabe
14.4.22;69,64;Tanken;Tanken für 1,95.9;Girokonto;Ausgabe
14.4.22;33,25;Lebensmittel;edeka;Girokonto;Ausgabe
19.4.22;368,92;Haus;IKEA;Girokonto;Ausgabe
19.4.22;105,75;Haus;Hornbach;Girokonto;Ausgabe
12.4.22;12,00;Bücher;SchönBuchHandlung;Barvermögen;Ausgabe
11.4.22;49,80;Gesundheit;Filder Apotheke;Girokonto;Ausgabe
7.4.22;25,90;Bücher;Albert Müller;Girokonto;Ausgabe
7.4.22;40,16;Lebensmittel;aldi;Girokonto;Ausgabe
7.4.22;19,44;Lebensmittel;edeka;Girokonto;Ausgabe
6.4.22;15,00;Kleidung;Greenality;Girokonto;Ausgabe
6.4.22;24,95;Kindersachen;Korbmayer GmbH;Girokonto;Ausgabe
6.4.22;18,97;Bücher;Thalia;Girokonto;Ausgabe
24.4.22;63,49;Tanken;Tanken für 1,99.9;Girokonto;Ausgabe
21.4.22;39,91;Lebensmittel;aldi;Girokonto;Ausgabe
25.4.22;91,96;Kleidung;Deichmann;Girokonto;Ausgabe
27.4.22;30,38;Lebensmittel;aldi;Girokonto;Ausgabe
30.4.22;110,44;Haus;Obi Farbe;Girokonto;Ausgabe
21.4.22;26,32;Lebensmittel;edeka;Girokonto;Ausgabe
3.5.22;400,00;Miete;Miete an Dieter;Girokonto;Ausgabe
3.5.22;45,77;Versicherungen;BU Canada Life;Girokonto;Ausgabe
5.5.22;23,94;Lebensmittel;edeka;Girokonto;Ausgabe
