date;amount;category;description;account;transactionkind
03.01.2022;308,00;Vermietung;Miete von Inga;Girokonto;Einnahme
03.01.2022;50,00;Überweisung;Urlaubsgeld;Urlaub;Einnahme
25.01.2022;350,00;Überweisung;Trade Republic;Trade Republic;Einnahme
01.01.2022;7744,99;Anpassung;Trade Republic;Trade Republic;Einnahme
01.01.2022;7200,00;Anpassung;Sparkonto;Sparkonto;Einnahme
01.01.2022;214,10;Anpassung;Urlaub;Urlaub;Einnahme
01.01.2022;1525,29;Anpassung;Girokonto;Girokonto;Einnahme
01.01.2022;291,60;Anpassung;Bargeld;Barvermögen;Einnahme
27.01.2022;748,77;Gehalt;Bechtle Gehlat;Girokonto;Einnahme
12.01.2022;1000,00;Geschenke;Muddr und vaddr;Girokonto;Einnahme
03.02.2022;308,00;Vermietung;Miete von Inga;Girokonto;Einnahme
08.02.2022;100,00;Geschenke;Muddr und Vaddr;Barvermögen;Einnahme
08.02.2022;150,00;Geschenke;Oma und Opa;Barvermögen;Einnahme
17.02.2022;195,82;Anpassung;Girokontoanpassung;Girokonto;Einnahme
24.02.2022;1842,83;Gehalt;Bechtle Gehalt;Girokonto;Einnahme
03.03.2022;308,00;Vermietung;Miete von Inga;Girokonto;Einnahme
05.03.2022;25,21;Anpassung;Girokontoanpassung;Girokonto;Einnahme
07.03.2022;51,99;Geschenke;Rücküberweisung Amazon;Girokonto;Einnahme
16.03.2022;90,00;Geschenke;Rücküberweisung Inga;Girokonto;Einnahme
21.03.2022;30,00;Geschenke;Geschenke von Inga;Barvermögen;Einnahme
22.03.2022;20,00;Geschenke;Geschenke von Oma und Opa;Barvermögen;Einnahme
02.02.2022;350,00;Überweisung;Trade Republic;Trade Republic;Einnahme
02.03.2022;350,00;Überweisung;Trade Republic;Trade Republic;Einnahme
03.03.2022;50,00;Überweisung;Urlaubsgeld;Urlaub;Einnahme
03.02.2022;50,00;Überweisung;Urlaubsgeld;Urlaub;Einnahme
24.03.2022;840,00;Vermietung;Inga Kaution + Miete;Girokonto;Einnahme
29.03.2022;1301,42;Gehalt;Philips;Girokonto;Einnahme
03.04.2022;400,00;Vermietung;Miete von Inga;Girokonto;Einnahme
03.04.2022;50,00;Überweisung;Urlaubsgeld;Urlaub;Einnahme
25.04.2022;350,00;Überweisung;Trade Republic;Trade Republic;Einnahme
04.04.2022;34,10;Anpassung;Bargeldanpassung;Barvermögen;Einnahme
04.04.2022;0,66;Anpassung;Girokontoanpassung;Girokonto;Einnahme
08.04.2022;1346,90;Geschenke;Steuerrückzahlung;Girokonto;Einnahme
