date;amount;category;description;account;transactionkind
03.01.2022;17,10;Versicherungen;BuV Bayrische Lebensversicherung;Girokonto;Ausgabe
03.01.2022;100,00;Versicherungen;Canada Life Assurance;Girokonto;Ausgabe
03.01.2022;775,00;Miete;Miete an Dieter;Girokonto;Ausgabe
03.01.2022;50,00;Überweisung;Urlaubsgeld;Girokonto;Ausgabe
15.01.2022;7,00;Technische Ausrüstung;Microsoft Office;Girokonto;Ausgabe
15.01.2022;108,81;Gesundheit;TK;Girokonto;Ausgabe
25.01.2022;19,79;Freizeit;BooKBeat;Girokonto;Ausgabe
25.01.2022;350,00;Investition;Trade Republic;Girokonto;Ausgabe
04.01.2022;5,10;Reisen;SSB;Girokonto;Ausgabe
04.01.2022;14,69;Technische Ausrüstung;Steam;Girokonto;Ausgabe
15.01.2022;129,80;Geschenke;Ausflug mit O&O nach Ludwigsburg;Barvermögen;Ausgabe
03.01.2022;121,03;Auto;Auto ;Girokonto;Ausgabe
10.01.2022;600,00;Auto;Auto -daniel;Girokonto;Ausgabe
10.01.2022;15,00;Geschenke;Amelies Geschenk;Girokonto;Ausgabe
13.01.2022;4,45;Reisen;DB;Girokonto;Ausgabe
14.01.2022;4,45;Reisen;DB;Girokonto;Ausgabe
17.01.2022;55,08;Haus;Rundfunkgebühren;Girokonto;Ausgabe
24.01.2022;32,96;Freizeit;Cinemax;Girokonto;Ausgabe
19.01.2022;154,00;Schule;Semestergebühren;Girokonto;Ausgabe
20.01.2022;4,45;Reisen;DB;Girokonto;Ausgabe
21.01.2022;8,90;Reisen;Db;Girokonto;Ausgabe
03.02.2022;17,10;Versicherungen;BuV Bayrische Lebensversicherung;Girokonto;Ausgabe
03.02.2022;100,00;Versicherungen;Canada Life Assurance;Girokonto;Ausgabe
03.02.2022;775,00;Miete;Miete an Dieter;Girokonto;Ausgabe
03.02.2022;50,00;Überweisung;Urlaubsgeld;Girokonto;Ausgabe
